grand_prix,session_type,driver_name,timestamp,message_text
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:18:33.496000Z,"The shift in turn three, upshift, is killing my rear stability."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:19:31.416000Z,"If you want to power up the course, I'll go for high speed."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:19:33.016000Z,"For high speed, it's high speed at 11."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:19:36.173000Z,"Yes, sonny, there you are."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:19:37.666000Z,High speed eleven then.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:20:29.506000Z,Potential debris turn 10.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:20:57.751000Z,"Switch change. Blue 2, position 6. Blue 2, position 6."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:20:59.415000Z,Position six. Blue two. Position six.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:21:32.183000Z,"Alex, keep pushing, keep pushing."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:22:06.017000Z,"That's box, box, hard tyre."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:22:09.559000Z,Do you want to fill the car in front of the boxes?
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:22:15.873000Z,Just cover the perrons.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:22:19.521000Z,Pause box.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:22:30.551000Z,"Hard turn, nice lap."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:22:34.391000Z,"Plus two. Plus two, plus two."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:22:44.247000Z,Straight towards right line and exit.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:22:51.287000Z,Should be clear with Pérez.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:22:54.444000Z,There is fallback. There is fallback.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:23:31.564000Z,Manage till 14.0 to cut throttle running.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:23:39.500000Z,I need some feedback on driving.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:23:44.983000Z,"Guys, I'm sorry, I had understeer in the car."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:23:56.737000Z,Give it status 4. Now it's status 4.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:23:59.873000Z,I need to plan A. Plan B with this balance.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:24:01.921000Z,B with this balance.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:24:17.175000Z,And we are forward-backed by our crosscars at high speed.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:24:19.607000Z,That's where we got our toes.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:24:33.047000Z,I need plan B.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:24:36.417000Z,"Thank you, understood. Suggest mid 5, mid 5."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:24:48.684000Z,I'm already struggling.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:24:50.583000Z,Yes.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:24:52.311000Z,"Oh, Jesus."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:25:28.791000Z,"Be close to the exit portal, that's it."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:25:38.476000Z,Double push now if you need to. Pre-press exit.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:25:43.169000Z,I'm going to try my safest form.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:25:46.583000Z,"Alright, you're ahead."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:26:01.516000Z,"Turn 4, 5, 6, turn plane, please."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:26:20.844000Z,"Softer shifts at green 10, position 5."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:26:30.935000Z,Please help me. Do you think he's going to help me in turn 3?
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:26:35.393000Z,"Yes, it will help you at turn three but may make the shift slower."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:26:38.401000Z,"Brake the shifts lower, let her help at three."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:26:48.492000Z,Tyres are already gone.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:27:04.919000Z,It's just mid four.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:27:07.308000Z,And push toggle 1-7-10.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:27:10.273000Z,"4, push throttle. 1-7-10."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:27:45.900000Z,"Yeah, we are looking at plan B."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:27:47.927000Z,"Just a bit of gap, switch traffic."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:28:02.156000Z,Wind updates.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:28:29.463000Z,No change to the wind from the start of the race and the ships is green 10-p.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:28:32.535000Z,"At position 5, green tab."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:28:33.473000Z,P5. Green tab position 5 to help turn.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:28:34.689000Z,Shift 5 to help turn at 3.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:28:37.463000Z,What is it?
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:28:51.223000Z,It's reduced harshness on the shift.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:28:54.551000Z,At the width.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:29:02.999000Z,"0.7, same as before."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:29:26.380000Z,Suggest. Push.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:29:28.108000Z,Push 1 at 7 and 10 will help.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:29:29.153000Z,Seven and ten. All hell will snap at one.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:29:54.903000Z,So you're consistently quicker than the other car at turn 4. We can trade some entry there.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:29:58.849000Z,That will help tyres as well.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:30:53.825000Z,30 seconds back on the hard tyre now.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:31:19.959000Z,"With this car out of balance, I'm much more..."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:31:25.569000Z,"You're still in B every lap, so I can't tell you."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:32:16.279000Z,Go. Abusage is high at 13.14.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:33:42.892000Z,"Bearman, two seconds back."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:34:11.841000Z,Bearman's got nine tenths.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:34:13.676000Z,Content on tyres and pace.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:35:07.223000Z,I have difficulty crossing cars at 5 and 10.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:35:09.868000Z,I've got torque.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:35:14.647000Z,"Yeah, but you tell me, but I..."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:35:17.612000Z,That's going to be a Hawaii.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:35:18.721000Z,Why? It's not why.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:35:36.065000Z,So the torque travel helped me understeer at 5.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:35:38.604000Z,I have understeer at turn 80 and oversteer at turn 90.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:35:41.953000Z,That's the way.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:36:34.625000Z,Blue flags for our next lap.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:37:02.551000Z,"...to try and help min speed at 5, so just staying firm."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:37:04.257000Z,I suggest staying further away from the apex.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:37:12.769000Z,You still haven't told me why I'm slow. Is it minimum speed?
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:37:16.097000Z,It's transit.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:37:19.617000Z,"AFAP, AFAP, it's pretty far."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:37:20.321000Z,A-Fab. A-Fab. Blue flag with George.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:37:54.156000Z,Blue half offset.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:38:28.481000Z,So it'll be another two or three blue flags.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:38:30.572000Z,B-Blue flags. Try status 2 during these blue flags but manage at turn 4.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:38:33.367000Z,Manage at turn 4 still.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:38:34.711000Z,Fail. That's blue for Antonelli.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:38:36.396000Z,"90. Norris, 2-back."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:39:13.111000Z,Seven seconds gap to the start.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:39:13.943000Z,Seven seconds gap to Verstappen.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:39:47.031000Z,"Go ahead, box."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:39:50.551000Z,"Thank you, Tim."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:39:58.359000Z,"Forty to go, I've got about two minutes."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:39:59.319000Z,Forty to go. I'll come back to you with a plan.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:40:00.705000Z,"Not learning anything here, just..."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:40:02.775000Z,"Sliding here, Albs."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:41:08.482000Z,"I need softer... softer shifts, I think."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:41:22.882000Z,"We're all in on shifts now, aren't we?"
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:41:24.738000Z,It's like the same compound.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:41:26.680000Z,Found it. Coming out one and a half.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:41:28.450000Z,One and a half. Resetting tools.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:42:48.472000Z,"Turn three suggesting short shift, fourth to fifth."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:43:21.240000Z,"Verstappen, Leclerc, P2."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:44:19.010000Z,Traffic's pushed now. We are boxed this lap hard.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:44:20.162000Z,Process lap. Hard tyre.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:44:21.592000Z,Final re-race.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:44:48.322000Z,We're avoiding taking the next one with Hamilton is 1.5 back.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:45:14.818000Z,"That'll be hard tyre, plus one and a half."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:45:50.914000Z,Set mid six when you can.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:46:01.304000Z,"OK, watch your white line at exit."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:46:09.666000Z,"Hadjar in 3, Alonso in 6."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:46:28.226000Z,Let's put the hatch out.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:46:44.610000Z,"I'm faster than him, sir."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:46:50.136000Z,"Right, status 4."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:46:54.146000Z,"At this point, let's just try to suffer, because we're..."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:46:56.344000Z,I have understeer at turn 80 and oversteer at turn 90.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:46:59.778000Z,And then we're just going to switch us to...
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:47:01.656000Z,Let's do it. Let's do what the car is doing.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:47:03.682000Z,I'd rather I sit over here.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:47:36.130000Z,Just 30 cars to go.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:47:38.242000Z,What do we do?
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:47:55.992000Z,"OK, copy that. Status 2 as you like, it's 35."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:47:57.400000Z,Two as you like. There's 35 to go.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:48:00.173000Z,"No, but the correct ones."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:48:28.802000Z,"Alex, I need mode 13. 1-3."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:48:55.832000Z,Clear ahead.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:48:56.877000Z,Go ahead. It's 34 to go.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:49:00.845000Z,About 15 laps to go.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:50:20.504000Z,"All right, good to try. Push."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:50:22.616000Z,Go on at status 2. See what happens.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:51:17.976000Z,Tyres are gone.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:51:45.624000Z,Turn up and see if they recover or whether it's terminal.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:52:40.130000Z,"Our next critical message, we need to box the..."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:52:42.029000Z,Literally need to box this lap to...
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:52:50.392000Z,"OK with the car, we're going to box this lap. Stop at the box, switch off, push the car back."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:52:52.418000Z,Box switch off. Push the car back in the garage.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:53:16.098000Z,"OK, so we have stopped at the box."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:53:17.848000Z,Box. Engine off.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:53:19.704000Z,T-cam above your head is loose. We need to resolve that in the garage.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:53:35.490000Z,You can also take this one.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:53:53.154000Z,"I mean, I don't know if you see the balance in turn B and..."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:05:48.802000Z,You should get about eight laps of clear area between the two Hascars.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:06:00.322000Z,"Straight out, watch the white line at exit."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:06:10.840000Z,One second ahead.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:06:13.570000Z,Fuck off. Eight seconds back.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:06:30.978000Z,That'd be a status off of all apps.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:08:56.578000Z,Snapped on someone's tailwhip gust.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:09:51.981000Z,Stay in port away from BACOP. I have no grip.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:09:52.962000Z,Rotate. Pulled away from park by half a second. Last lap 203.0.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:09:54.754000Z,Last lap in five seconds.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:10:23.832000Z,Just last combined for turn 5.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:10:25.112000Z,Thanks to Boeing for the turn 5 entry.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:11:16.845000Z,Mid 8. Suggest mid 8.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:11:44.600000Z,"OK, 18 laps to go."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:14:30.872000Z,Cryo status 3.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:14:33.048000Z,Circuit 80 still valid.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:15:26.360000Z,That's Hadjar P822.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:15:27.000000Z,"GRP 8, two seconds back."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:17:17.720000Z,"A lot of loads of feedback from your side, Alex."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:17:22.136000Z,"That's it. Yeah, watch for the..."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:17:23.970000Z,See you in the machine tent now.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:17:28.237000Z,"Some of the right-handers, but at least they left this..."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:17:31.608000Z,It's terrible.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:17:49.912000Z,Blue Hadjar.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:17:56.674000Z,"It's more that I think, thinking about the difference, we're all close now, so it feels more consistent."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:18:11.480000Z,I don't know if you see turn three yet.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:18:14.210000Z,It's anointed.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:18:15.192000Z,Still very strange.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T14:18:42.285000Z,Suggest going forwards half a cent.
